Animal..,ARN,Species,Primary.Breed,Colors,Gender,Altered,Pre.Altered,Chip.Provider,Danger,Danger.Reason,Date.of.Birth,Intake.Age,Intake.By,Intake.Date,Intake.Type,Intake.Subtype,Intake.Reason,Intake.Site,Intake.Location,Intake.Sublocation,Intake.Jurisdiction,Intake.Condition,Intake.Agency,Agency.Member,Agency.Member.Phone,Agency.Address,Outcome.Age,Outcome.Age.in.Months,Outcome.Date,Outcome.By,Outcome.Type,Outcome.Subtype,Outcome.Site,Outcome.Location,Outcome.Sublocation,Outcome.Jurisdiction,Transfer.Out.Reason,Outcome.Agency,Released.By,Release.Date,LOS
A04751786,,Cat,Domestic Shorthair,Black/White,Male,Yes,Yes,24PetWatch,No,NA,2/2/2008,3m 30d, ,6/1/2008 2:31:57 PM,Return,Returned Adoption,Unwanted,The PACCA Legacy,PACCA Legacy,NA,,Healthy,,,,,10y 3m 12d,123,5/14/2018 11:23:02 AM,Sara Davidson,Adoption,Grays Ferry Avenue,Grays Ferry Avenue,Cat Room,NA,19146—Schuylkill S,NA,NA,Sara Davidson,5/14/2018 11:23:02 AM,3633
A05256816,,Cat,Domestic Shorthair,White/Buff,Female,Yes,Yes,24PetWatch,No,NA,3/27/2007,11y 2m 13d,Ame Wiltzius,6/9/2018 2:16:50 PM,Return,Returned Adoption,Moving,PAC,PAC,NA,,Healthy,,,,,11y 7m 23d,139,11/19/2018 9:00:34 AM,Ame Wiltzius,Adoption,PAC,PAC,Foster Care - General,NA,,NA,NA,Ame Wiltzius,11/19/2018 9:00:34 AM,162
A05513734,,Cat,Domestic Shorthair,White/Black,Female,Yes,Yes,24PetWatch,No,NA,4/23/2008,10y 6m 3d,Jill Sweeney,10/26/2018 11:41:36 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,New Jersey,Sick,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,10y 7m 9d,127,12/2/2018 2:27:30 PM,Volunteer Account,Adoption,PAC,PAC,PAC,NA,,NA,NA,Rich Wilkinson,12/2/2018 2:27:30 PM,37
A05609063,73004,Cat,Domestic Shorthair,Tan/Black/,Male,Yes,No,24PetWatch,No,NA,3/2/2008,3y 3m 18d,Allison Lamond,6/20/2011 5:36:37 PM,Stray,Abandoned at Shelter,,PAWS Offsite Adoptions,PAC,NA,Center City,Feral,,,,,10y 2m 1d,122,5/3/2018 5:51:04 PM,Linda O'Brien,Adoption,PAC,2007 Recordkeeping,PAC,NA,,NA,NA,Linda O'Brien,5/3/2018 5:51:04 PM,2509
A06116054,,Cat,Domestic Shorthair,Orange/White/,Male,Yes,No,24PetWatch,No,NA,12/28/2004,6y 0d,Allison Lamond,12/28/2010 1:39:28 PM,Return,Returned Adoption,Allergic to Animal,PAWS Offsite Adoptions,PAC,NA,,Healthy,,,,,13y 4m 5d,160,5/3/2018 5:45:31 PM,Linda O'Brien,Adoption,PAC,2007 Recordkeeping,PAC,NA,,NA,NA,Linda O'Brien,5/3/2018 5:45:31 PM,2683
A07160475,,Cat,Domestic Shorthair,Grey/White,Female,Yes,No,24PetWatch,No,NA,8/7/2008,10y 1m 19d,Sara Davidson,9/26/2018 11:02:36 AM,Return,Returned Adoption,Allergic to Animal,PAC,PAC,NA,,Healthy,,,,,10y 2m 6d,122,10/13/2018 2:21:20 PM,Volunteer Account,Adoption,PAC,PAC,PAC,NA,,NA,NA,Volunteer Account,10/13/2018 2:21:20 PM,17
A07493241,,Cat,Domestic Medium Hair,White/Grey,Female,Yes,Yes,24PetWatch,No,NA,4/1/2008,11y 2m 9d,Jill Sweeney,6/10/2019 11:51:08 AM,Stray,Public Drop Off,,Grays Ferry Avenue,Cat Room,NA,Jurisdiction Unknown,Healthy,,,,,11y 6m 17d,138,10/18/2019 4:37:00 PM,Ame Wiltzius,Adoption,PAC,PAC,PAC,NA,,NA,NA,Ame Wiltzius,10/18/2019 4:37:00 PM,130
A07940846,,Dog,Bichon Frise,White/,Male,Yes,Yes,24PetWatch,No,NA,6/25/2008,1y 1d, ,6/26/2009 11:15:00 AM,Transfer In,Partner Transfer In,Rescue,PAWS Offsite Adoptions,PAC,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,9y 9m 22d,117,4/16/2018 3:35:57 PM,Robin Ackerman,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Robin Ackerman,4/16/2018 3:35:57 PM,3216
A07983182,,Cat,Domestic Shorthair,Black/White,Male,Yes,Yes,24PetWatch,No,NA,6/21/2009,2y 4m 25d,Deb Byrne,11/15/2011 5:50:22 PM,Return,Returned Adoption,Not Housebroken / Housesoiling,PAWS Offsite Adoptions,PAC,NA,,Healthy,,,,,8y 10m 12d,106,5/3/2018 5:52:45 PM,Linda O'Brien,Adoption,PAC,2007 Recordkeeping,PAC,NA,,NA,NA,Linda O'Brien,5/3/2018 5:52:45 PM,2361
A08222239,,Cat,Domestic Shorthair,White/Black,Male,Yes,Yes,24PetWatch,No,NA,6/29/2009,8y 7m 3d,Erica Henn,1/31/2018 3:34:15 PM,Return,Returned Adoption,Too Many Animals,PAWS Foster Program,Foster Care - General,NA,,Healthy,,,,,8y 7m 8d,103,2/5/2018 4:47:47 PM,Erica Henn,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Erica Henn,2/5/2018 4:47:47 PM,5
A08942732,,Cat,Domestic Shorthair,Black/Orange,Female,Yes,Yes,24PetWatch,No,NA,9/2/2009,8y 5m 26d,Jill Sweeney,2/28/2018 11:09:24 AM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,8y 5m 27d,101,3/1/2018 5:56:51 PM,Kate Wysong,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Kate Wysong,3/1/2018 5:56:51 PM,1
A10123360,,Cat,Domestic Shorthair,Orange/White,Female,Yes,Yes,24PetWatch,No,NA,1/18/2009,9y 6m 25d,Jill Sweeney,8/12/2018 1:55:22 PM,Return,Returned Adoption,Moving,Grays Ferry Avenue,Cat Room,NA,,Healthy,,,,,9y 7m 4d,115,8/22/2018 5:40:56 PM,Rich Wilkinson,Adoption,PAC,PAC,PAC,NA,,NA,NA,Rich Wilkinson,8/22/2018 5:40:56 PM,10
A10123360,,Cat,Domestic Shorthair,Orange/White,Female,Yes,Yes,24PetWatch,No,NA,1/18/2009,9y 6m 20d,Angela Peterdi,8/7/2018 4:28:12 PM,Return,Returned Adoption,Death of Owner / Family,PAWS Foster Program,Foster Care - General,NA,19152—Rhawnhurst NE,Healthy,,,,,9y 6m 20d,114,8/7/2018 4:30:08 PM,Angela Peterdi,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Angela Peterdi,8/7/2018 4:30:08 PM,0
A10459041,,Cat,Domestic Shorthair,White/Grey,Male,Yes,Yes,24PetWatch,No,NA,11/9/2008,11y 20d,Emma Griffin,11/29/2019 3:28:21 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,Women's Animal Center,Daisha Pierce,(215) 750-3100,3839 Richlieu Road  ,11y 1m 3d,133,12/12/2019 5:45:00 PM,Meredyth Forbes,Adoption,PAC,PAC,PAC,NA,,NA,NA,Meredyth Forbes,12/12/2019 5:45:00 PM,13
A10539838,,Cat,Domestic Shorthair,White/Orange,Male,Yes,Yes,24PetWatch,No,NA,12/23/2009,8y 7m 15d,Angela Peterdi,8/7/2018 4:28:11 PM,Return,Returned Adoption,Death of Owner / Family,PAWS Foster Program,Foster Care - General,NA,19152—Rhawnhurst NE,Healthy,,,,,8y 7m 15d,103,8/7/2018 4:33:10 PM,Angela Peterdi,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Angela Peterdi,8/7/2018 4:33:10 PM,0
A10702863,,Dog,Shih Tzu,White/Black,Male,Yes,Yes,24PetWatch,No,NA,6/9/2005,13y 4m 1d,Lauren Campagnini,10/10/2018 1:07:28 PM,Return,Returned Adoption,Too Old,PAC,PAC,NA,,Healthy,,,,,13y 4m 19d,160,10/28/2018 4:15:20 PM,Rich Wilkinson,Adoption,PAC,PAC,Foster Care - General,NA,,NA,NA,Rich Wilkinson,10/28/2018 4:15:20 PM,18
A10832667,,Dog,Shih Tzu,Black/White,Male,Yes,Yes,24PetWatch,No,NA,12/13/2010,8y 0d,Angela Peterdi,12/13/2018 2:26:27 PM,Owner/Guardian Surrender,In Person Surrender to Shelter,Personal Problems,Grays Ferry Avenue,Kennel - Holding,NA,,Healthy,,,,,8y 17d,96,12/30/2018 3:45:14 PM,Rich Wilkinson,Adoption,PAC,PAC,Foster Care - General,NA,,NA,NA,Rich Wilkinson,12/30/2018 3:45:14 PM,17
A11206221,,Dog,"Terrier, American Pit Bull",Black/Fawn,Female,Yes,Yes,24PetWatch,No,NA,4/22/2009,10y 2m 3d,Angela Peterdi,6/25/2019 4:31:45 PM,Return,Returned Adoption,Aggression to Animals,PAWS Foster Program,Foster Care - General,NA,,Sick,,,,,10y 3m 26d,123,8/17/2019 5:33:00 PM,Volunteer Account,Adoption,PAC,PAC,Foster Care - General,NA,,NA,NA,Casey McGuigan,8/17/2019 5:33:00 PM,53
A11206221,,Dog,"Terrier, American Pit Bull",Black/Fawn,Female,Yes,Yes,24PetWatch,No,NA,4/22/2009,10y 23d,Angela Peterdi,5/15/2019 2:06:37 PM,Return,Returned Adoption,Personal Problems,Grays Ferry Avenue,Kennel - Holding,NA,,Sick,,,,,10y 2m 1d,122,6/23/2019 4:29:00 PM,Angela Peterdi,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Angela Peterdi,6/23/2019 4:29:00 PM,39
A11539740,,Dog,"Terrier, Pit Bull",Grey/White,Female,Yes,Yes,24PetWatch,No,NA,6/29/2010,8y 2m 7d,Angela Peterdi,9/5/2018 11:23:15 AM,Return,Returned Adoption,Moving,PAWS Foster Program,Foster Care - General,NA,,Healthy,,,,,8y 2m 7d,98,9/5/2018 11:24:09 AM,Angela Peterdi,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Angela Peterdi,9/5/2018 11:24:09 AM,0
A11737254,,Cat,Domestic Shorthair,Black/White,Unknown,Unknown,Unknown,,No,NA,10/15/2009,1y 8d,Donna Bright,10/23/2010 11:50:00 AM,Stray,Public Drop Off,,PAWS Foster Program,Foster Care - General,NA,Center City,Sick,,,,,10y 0d,120,10/15/2019 3:14:00 PM,Emma Griffin,Adoption,Grays Ferry Avenue,Grays Ferry Avenue,Foster Care - General,NA,,NA,NA,Emma Griffin,10/15/2019 3:14:00 PM,3279
A12068511,,Cat,Domestic Shorthair,Black/White,Male,Yes,Yes,24PetWatch,No,NA,8/16/2010,8m 19d,Allison Homer,5/5/2011 12:37:03 PM,Return,Returned Adoption,Destructive,PAWS Offsite Adoptions,PAC,NA,,Healthy,,,,,7y 8m 17d,92,5/3/2018 5:49:14 PM,Linda O'Brien,Adoption,PAC,2007 Recordkeeping,PAC,NA,,NA,NA,Linda O'Brien,5/3/2018 5:49:14 PM,2555
A12171447,,Cat,Domestic Shorthair,Black/,Male,Yes,Yes,24PetWatch,No,NA,10/5/2010,7y 11m 25d,Rich Wilkinson,9/30/2018 12:11:19 PM,Return,Returned Adoption,Allergic to Animal,PAC,PAC,NA,,Healthy,,,,,8y 13d,96,10/18/2018 5:36:45 PM,Ame Wiltzius,Adoption,PAC,PAC,PAC,NA,,NA,NA,Ame Wiltzius,10/18/2018 5:36:45 PM,18
A12171473,,Cat,Domestic Shorthair,Black/Black,Male,Yes,No,24PetWatch,No,NA,10/5/2010,7y 11m 25d,Rich Wilkinson,9/30/2018 12:11:18 PM,Return,Returned Adoption,Allergic to Animal,PAC,PAC,NA,,Healthy,,,,,8y 15d,96,10/20/2018 1:42:58 PM,Rich Wilkinson,Adoption,PAC,PAC,PAC,NA,,NA,NA,Rich Wilkinson,10/20/2018 1:42:58 PM,20
A12248087,,Cat,Domestic Shorthair,Black/,Male,Yes,No,24PetWatch,No,NA,1/19/2010,1y 0d,Robin Ackerman,1/19/2011 9:49:00 AM,Stray,Public Drop Off,,PAWS Foster Program,Foster Care - General,NA,Center City,Healthy,,,,,8y 3m 14d,99,5/3/2018 5:40:17 PM,Linda O'Brien,Adoption,PAC,2007 Recordkeeping,PAC,NA,,NA,NA,Linda O'Brien,5/3/2018 5:40:17 PM,2661
A12315190,,Dog,Bichon Frise,White/,Male,Yes,Unknown,24PetWatch,No,NA,2/6/2010,8y 4m 11d,Ali Crider,6/17/2018 4:40:41 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,8y 5m 1d,101,7/7/2018 12:49:12 PM,Angela Peterdi,Adoption,Grays Ferry Avenue,Grays Ferry Avenue,Isolation,NA,,NA,NA,Angela Peterdi,7/7/2018 12:49:12 PM,19
A12655311,,Cat,Domestic Shorthair,Black/,Female,Yes,Yes,24PetWatch,No,NA,2/17/2011,8y 6m 9d,Steve Ciepiela,8/26/2019 4:19:38 PM,Return,Returned Adoption,Change in Lifestyle,Grant Avenue,Grant Avenue,NA,,Healthy,,,,,8y 8m 4d,104,10/21/2019 4:56:00 PM,Ashley Matters,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Ashley Matters,10/21/2019 4:56:00 PM,56
A12684883,,Cat,Domestic Shorthair,Orange/White/,Female,Yes,Yes,24PetWatch,No,NA,11/21/2010,8m 17d,Allison Lamond,8/7/2011 3:48:23 PM,Return,Returned Adoption,Sheds,PAWS Offsite Adoptions,PAC,NA,,Healthy,,,,,7y 5m 12d,89,5/3/2018 5:51:51 PM,Linda O'Brien,Adoption,PAC,2007 Recordkeeping,PAC,NA,,NA,NA,Linda O'Brien,5/3/2018 5:51:51 PM,2461
A12963220,,Cat,Domestic Shorthair,Black/White/,Male,Yes,Yes,24PetWatch,No,NA,3/29/2011,7y 7m 6d,Rich Wilkinson,11/4/2018 3:04:05 PM,Return,Returned Adoption,Moving,PAC,PAC,NA,,Healthy,,,,,8y 7m 17d,103,11/15/2019 5:57:00 PM,Meredyth Forbes,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Meredyth Forbes,11/15/2019 5:57:00 PM,376
A13246526,,Cat,Domestic Shorthair,Tan/White,Male,Yes,No,24PetWatch,No,NA,6/1/2011,6y 11m 11d,Rich Wilkinson,5/12/2018 1:11:38 PM,Return,Returned Adoption,Moving,PAC,PAC,NA,,Healthy,,,,,7y 5m 29d,89,11/30/2018 3:12:33 PM,Ame Wiltzius,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Ame Wiltzius,11/30/2018 3:12:33 PM,202
A13246572,,Cat,Domestic Medium Hair,Grey/Cream,Female,Yes,Yes,24PetWatch,No,NA,6/1/2011,6y 11m 11d,Rich Wilkinson,5/12/2018 1:11:38 PM,Return,Returned Adoption,Moving,PAC,PAC,NA,,Healthy,,,,,7y 5m 29d,89,11/30/2018 3:12:33 PM,Ame Wiltzius,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Ame Wiltzius,11/30/2018 3:12:33 PM,202
A13548597,,Cat,Domestic Shorthair,Black/White,Male,Yes,Yes,24PetWatch,No,NA,8/13/2009,9y 7m 1d,Maria Decker,3/14/2019 12:05:17 PM,Return,Returned Adoption,Allergic to Animal,Grant Avenue,Grant Avenue,NA,,Healthy,,,,,9y 7m 18d,115,3/31/2019 3:02:00 PM,Ashley Matters,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Ashley Matters,3/31/2019 3:02:00 PM,17
A13665043,,Cat,Domestic Shorthair,Grey/White,Female,Yes,Yes,24PetWatch,No,NA,8/13/2009,8y 9m 17d,Lauren Campagnini,5/30/2018 12:14:46 PM,Return,Returned Adoption,Change in Lifestyle,PAC,PAC,NA,,Healthy,,,,,8y 9m 28d,105,6/10/2018 1:12:25 PM,Rich Wilkinson,Adoption,PAC,PAC,PAC,NA,,NA,NA,Rich Wilkinson,6/10/2018 1:12:25 PM,11
A13828665,,Cat,Domestic Shorthair,Grey/Black,Male,Yes,Yes,24PetWatch,No,NA,9/1/2011,7y 3m 10d,Jill Sweeney,12/11/2018 9:44:35 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,7y 4m 17d,88,1/18/2019 12:58:18 PM,Meredyth Forbes,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Meredyth Forbes,1/18/2019 12:58:18 PM,38
A14482078,,Cat,Domestic Shorthair,Black/,Male,Yes,Yes,24PetWatch,No,NA,7/10/2011,4m 0d,Deb Byrne,11/10/2011 5:30:00 PM,Transfer In,Partner Transfer In,Rescue,PAWS Offsite Adoptions,PAC,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,6y 9m 23d,81,5/3/2018 5:38:35 PM,Linda O'Brien,Adoption,PAC,2007 Recordkeeping,PAC,NA,,NA,NA,Linda O'Brien,5/3/2018 5:38:35 PM,2366
A14931945,,Cat,Domestic Longhair,Black/White,Female,Yes,Yes,24PetWatch,No,NA,2/13/2008,10y 4m 12d,Ashley Matters,6/25/2018 3:07:40 PM,Return,Returned Adoption,Moving,Grant Avenue,Grant Avenue,NA,,Healthy,,,,,10y 10m 15d,130,12/28/2018 5:21:27 PM,Steve Ciepiela,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Steve Ciepiela,12/28/2018 5:21:27 PM,186
A15451188,,Cat,Domestic Shorthair,Orange/White,Female,Yes,Yes,24PetWatch,No,NA,2/10/2012,6y 10m 30d,Lauren Campagnini,1/9/2019 3:26:04 PM,Return,Returned Adoption,Aggression to Animals,PAC,PAC,NA,,Healthy,,,,,6y 10m 30d,82,1/9/2019 3:29:51 PM,Lauren Campagnini,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Lauren Campagnini,1/9/2019 3:29:51 PM,0
A15451188,,Cat,Domestic Shorthair,Orange/White,Female,Yes,Yes,24PetWatch,No,NA,2/10/2012,6y 6m 12d,Rich Wilkinson,8/22/2018 3:13:15 PM,Return,Returned Adoption,Health of Animal,PAC,PAC,NA,,Healthy,,,,,6y 7m 4d,79,9/14/2018 1:51:27 PM,Ame Wiltzius,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Ame Wiltzius,9/14/2018 1:51:27 PM,22
A15498703,,Cat,Domestic Shorthair,White/Cream,Male,Yes,Yes,24PetWatch,No,NA,2/1/2009,3y 23d,Allison Lamond,2/24/2012 6:03:00 PM,Transfer In,Partner Transfer In,Rescue,PAWS Offsite Adoptions,PAC,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,9y 3m 1d,111,5/2/2018 3:32:02 PM,Ame Wiltzius,Adoption,PAC,2007 Recordkeeping,PAC,NA,,NA,NA,Ame Wiltzius,5/2/2018 3:32:02 PM,2258
A15545461,,Cat,Domestic Shorthair,Brown/Black,Male,Yes,Yes,24PetWatch,No,NA,11/2/2011,1y 4m 13d,Natalie Ranck,3/15/2013 2:18:56 PM,Return,Returned Adoption,Temperament,PAWS Offsite Adoptions,PAC,NA,,Healthy,,,,,6y 6m 1d,78,5/3/2018 5:41:19 PM,Linda O'Brien,Adoption,PAC,2007 Recordkeeping,PAC,NA,,NA,NA,Linda O'Brien,5/3/2018 5:41:19 PM,1875
A15589036,,Cat,Domestic Shorthair,Black/White,Female,No,No,24PetWatch,No,NA,9/7/2010,1y 6m 2d,Robin Ackerman,3/9/2012 3:35:00 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,(inactive),NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,8y 7m 3d,103,4/10/2019 4:00:00 PM,Sara Davidson,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,19106—Center City-Society Hill,NA,NA,Sara Davidson,4/10/2019 4:00:00 PM,2588
A15888292,,Cat,Domestic Medium Hair,Grey/,Male,Yes,Yes,24PetWatch,No,NA,,,Deb Byrne,4/3/2012 1:28:00 PM,Stray,Public Drop Off,,PAWS Offsite Adoptions,PAC,NA,North Philadelphia,Healthy,,,,,,NA,5/3/2018 5:42:51 PM,Linda O'Brien,Adoption,PAC,2007 Recordkeeping,PAC,NA,,NA,NA,Linda O'Brien,5/3/2018 5:42:51 PM,2221
A15940208,,Cat,Domestic Longhair,Grey/White,Female,Yes,Yes,24PetWatch,No,NA,4/26/2011,6y 11m 22d,Jill Sweeney,4/17/2018 9:39:00 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,7y 3d,84,4/29/2018 12:53:41 PM,Erica Henn,Adoption,PAC,PAC,PAC,NA,,NA,NA,Erica Henn,4/29/2018 12:53:41 PM,12
A16759259,,Dog,Terrier,Brown/White,Female,Yes,Yes,24PetWatch,No,NA,1/1/2012,7y 6m 16d,Jill Sweeney,7/17/2019 4:26:34 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Kennel - Adoptions,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,7y 7m 7d,91,8/8/2019 11:56:00 AM,Angela Peterdi,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Angela Peterdi,8/8/2019 11:56:00 AM,21
